Customer_ID,Signup_Date,Gender,Age,Annual_Income,Credit_Score,Customer_Segment,Activity_Score
CUST-1000,2022-10-17,Female,44,130561.62,755,Premium,53.6
CUST-1001,2022-10-17,Female,36,104586.79,463,Premium,53.2
CUST-1002,2022-10-17,Male,46,37643.2,837,Standard,54.7
CUST-1003,2021-05-23,Male,56,34059.11,670,VIP,52.1
CUST-1004,2021-05-23,Male,35,112940.64,763,Standard,50.2
CUST-1005,2021-05-23,Female,35,78220.02,602,Standard,51.1
CUST-1006,2021-05-23,Male,57,110332.67,726,Premium,54.1
CUST-1007,2022-03-09,Male,47,52970.28,601,Standard,54.8
CUST-1008,2021-01-31,Female,32,43525.88,681,Premium,54.2
CUST-1009,2021-01-31,Male,45,86157.89,824,Standard,54.2
CUST-1010,2021-01-31,Female,39,88774.98,666,Standard,51.7
CUST-1011,2021-01-31,Male,32,29086.57,696,Standard,52.9
CUST-1013,2021-01-31,Male,35,109201.63,717,Standard,53.7
CUST-1014,2021-01-31,Female,35,36286.91,691,Standard,52.8
CUST-1015,2021-10-12,Male,31,86157.89,707,Standard,53.3
CUST-1016,2021-10-12,Male,26,38451.74,681,Standard,52.5
CUST-1017,2021-10-12,Male,42,40074.58,676,Standard,52.3
CUST-1018,2021-10-12,Female,39,131075.71,695,Standard,56.5
CUST-1019,2021-10-12,Male,21,72778.36,681,VIP,56.0
CUST-1020,2021-10-12,Male,56,103064.41,763,VIP,55.3
CUST-1021,2021-04-15,Female,35,36004.16,769,Standard,54.0
CUST-1022,2022-01-25,Male,39,99407.35,728,Standard,55.5
CUST-1023,2022-01-25,Female,21,79491.63,594,Standard,55.1
CUST-1024,2022-01-25,Male,31,101485.36,803,Standard,53.8
CUST-1025,2022-01-25,Male,39,205807.2275,594,Premium,53.8
CUST-1026,2023-04-07,Male,24,135627.61,703,Standard,59.3
CUST-1027,2023-04-07,Male,43,128615.62,623,Premium,58.1
CUST-1028,2022-07-04,Female,31,132901.37,675,VIP,54.4
CUST-1029,2022-07-04,Male,34,116036.14,705,Premium,56.4
CUST-1030,2022-07-04,Male,31,69129.67,704,Standard,55.0
CUST-1031,2022-07-04,Male,60,64796.93,712,Premium,56.6
CUST-1032,2022-07-04,Male,38,56991.01,801,Standard,52.7
CUST-1033,2022-07-04,Male,39,57035.54,714,Standard,54.5
CUST-1034,2022-12-23,Male,48,119139.45,662,Premium,52.0
CUST-1035,2022-12-23,Female,23,127203.38,752,Standard,53.5
CUST-1036,2022-12-23,Male,41,52037.15,769,Standard,53.5
CUST-1037,2022-12-23,Male,35,115497.71,588,Premium,51.6
CUST-1038,2023-06-07,Male,22,103601.86,725,Premium,50.8
CUST-1039,2023-06-07,Female,40,85901.86,733,Premium,52.2
CUST-1040,2023-06-07,Female,47,56206.57,681,Standard,52.4
CUST-1041,2023-06-07,Female,40,89809.52,783,Standard,53.6
CUST-1042,2023-06-07,Male,37,143465.26,669,Premium,57.5
CUST-1043,2023-06-07,Female,34,43442.0,689,VIP,54.4
