Customer_ID,Signup_Date,Gender,Age,Annual_Income,Credit_Score,Customer_Segment,Activity_Score
cust-1000  ,2022-10-17,female,44.0,"$130,561.62",755.0,Premium,53.6
CUST-1001,01-26-2021,F,36.0,$104586.79,463.0,Premium,53.2
CUST-1002,08/09/2021,male,46.0, 37643.20 ,837.0,Standard,54.7
CUST-1003,2021-05-23,male,56.0,$34059.11,670.0,VIP,52.1
CUST-1004,2022.11.24,M,35.0, 112940.64 ,763.0,Standard,50.2
CUST-1005,,female,35.0,"$78,220.02",602.0,standard,51.1
CUST-1006,2021.03.31,MALE,57.0,"$110,332.67",726.0,Premium,54.1
CUST-1007,2022-03-09,Male,47.0,"$52,970.28",601.0,Standard,54.8
CUST-1008,2021-01-31,Female,32.0, 43525.88 ,,Premium,54.2
CUST-1009,12/08/2021,male,45.0,N/A,824.0,Standard,54.2
CUST-1010,2022.06.02,F,,"88,774.98",666.0,Standard,51.7
CUST-1011,2021.01.28,Male,32.0,$29086.57,696.0,,52.9
,2021.07.23,Female,41.0,"123,601.76",745.0,,54.6
CUST-1013,06/03/2022,male,35.0,"109,201.63",717.0,Standard,53.7
CUST-1014,2022.04.05,female,35.0,"36,286.91",691.0,Standard,52.8
cust-1015  ,2021-10-12,m,31.0,,707.0,Standard,53.3
CUST-1016,17/02/2023,M,26.0,"$38,451.74",860.0,Standard,52.5
CUST-1017,"December 16, 2022",m,42.0,$40074.58,676.0,,52.3
CUST-1018,12-15-2021,FEMALE,195.0, 131075.71 ,695.0,,56.5
CUST-1019,09/06/2021,male,21.0, 72778.36 ,1250.0,VIP,56.0
CUST-1020,09-08-2023,Male,56.0, 103064.41 ,763.0,VIP,55.3
CUST-1021,2021-04-15,Female,35.0,"$36,004.16",769.0,Standard,54.0
CUST-1022,2022-01-25,M,39.0, 99407.35 ,728.0,Standard,55.5
CUST-1023,INVALID_DATE,female,21.0, 79491.63 ,594.0,Standard,55.1
CUST-1024,01-03-2022,male,31.0, 101485.36 ,803.0,Standard,53.8
CUST-1025,09-11-2022,Male,39.0,"$9,999,999.00",594.0,Premium,
CUST-1026,2023-04-07,m,24.0,"135,627.61",703.0,standard,59.3
CUST-1027,"January 18, 2023",m,43.0,"$128,615.62",623.0,Premium,58.1
CUST-1028,2022-07-04,,31.0, 132901.37 ,675.0,VIP,54.4
CUST-1029,"September 24, 2023",Male,34.0,"116,036.14",705.0,Premium,56.4
cust-1030  ,2021.03.22,male,31.0,"69,129.67",704.0,Standard,55.0
CUST-1031,2021.10.28,Male,60.0, 64796.93 ,712.0,Premium,56.6
CUST-1032,06-26-2023,male,38.0,"$56,991.01",801.0,Standard,52.7
CUST-1033,15/08/2022,male,,$57035.54,714.0,Standard,54.5
CUST-1034,2022-12-23,m,48.0,"$119,139.45",662.0,Premium,52.0
CUST-1035,16/02/2021,Female,23.0,$127203.38,752.0,Standard,53.5
CUST-1036,03-03-2023,Male,41.0, 52037.15 ,769.0,Standard,53.5
CUST-1037,23/03/2021,m,35.0,$115497.71,588.0,Premium,51.6
CUST-1038,2023-06-07,m,22.0, 103601.86 ,725.0,Premium,50.8
CUST-1039,01-25-2022,female,40.0,"$85,901.86",733.0,Premium,52.2
CUST-1040,04-10-2022,f,47.0,"$56,206.57",,Standard,52.4
CUST-1041,06-16-2021,Female,40.0,"$89,809.52",783.0,Standard,53.6
CUST-1042,30/12/2021,m,37.0,$143465.26,669.0,Premium,57.5
CUST-1043,11-18-2022,Female,34.0,"43,442.00",689.0,VIP,54.4
CUST-1044,2022-12-20,female,-8.0, 70753.26 ,667.0,VIP,57.6
,16/09/2022,Male,29.0,"$117,238.93",681.0,Standard,57.8
CUST-1046,01/07/2022,Female,32.0,"$29,952.66",598.0,VIP,56.0
CUST-1047,"June 17, 2021",M,51.0, 29613.83 ,572.0,Premium,
